LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0109,relative to driving to the left of an unbroken painted line.,HB 143,This bill requires electronic prescribing for controlled drugs under certain circumstances.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=109&txtFormat=html,Steven Smith,"Sherman Packard, Thomas Walsh",1/4/2021
21-0110,"relative to the 50th anniversary of the passage of the 26th amendment, granting the right to vote to 18-21 year olds and celebrating youth voting and office holding.",HB 169,"This bill establishes a commission to study the removal of unused utility poles following the transition of equipment, lines, and cables to new utility poles.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=110&txtFormat=html,Robert Renny Cushing,Casey Conley,1/4/2021
21-0111,relative to changes of registration of certain voters after a primary election.,HB 153,This bill establishes a committee to study universal Internet access for New Hampshire.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=111&txtFormat=html,Jim Maggiore,,1/4/2021
21-0112,relative to absentee ballot request forms.,HB 144,This bill modifies the absentee ballot request forms and absentee ballot envelopes.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=112&txtFormat=html,Paul Bergeron,,1/4/2021
21-0113,establishing a committee to study universal Internet access for New Hampshire.,HB 151,This bill provides that the registration of undeclared voters who register as members of a party at any primary shall be returned to undeclared registrations by the supervisors of the checklist after the close of the polls on election day.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=113&txtFormat=html,Lee Oxenham,"Suzanne Vail, Troy Merner, Larry Laflamme, Jay Kahn, Rebecca McWilliams",1/4/2021
21-0114,"establishing a commission to study the removal of unused utility poles following the transition of equipment, lines, and cables to new utility poles.",HB 273,"This bill proclaims May 13, 2021 as youth franchise and youth officeholder day in New Hampshire, in honor of the 50th anniversary of New Hampshire’s ratification, on May 13, 1971, of the 26th Amendment to the United States Constitution which granted the right to vote to 18-21 year olds and made 18-21 year olds eligible to hold office in the state.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=114&txtFormat=html,Jaci Grote,"William Marsh, Kate Murray, Tom Sherman, Jim Maggiore, Gerri Cannon",1/4/2021
21-0115,relative to notice of rent increases in certain residential rental property.,HB 170,This bill proclaims a yearly commemoration of the first labor strike in the United States by women in Dover.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=115&txtFormat=html,Casey Conley,"Ivy Vann, Kristina Schultz, Safiya Wazir, Cam Kenney, Wendy Chase",1/4/2021
21-0116,relative to community revitalization tax relief incentives.,HB 154-LOCAL,This bill enables municipalities to offer community revitalization tax incentives for the construction of additional housing in designated areas.  The bill also revises the criteria for assistance from the affordable housing fund administered by the housing finance authority.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=116&txtFormat=html,Casey Conley,"David Watters, Ivy Vann, Skip Cleaver, Chuck Grassie, Andrew Bouldin",1/4/2021
21-0117,commemorating the first labor strike in the United States by women.,HB 160,This bill requires notice by a landlord of at least 60 days of a proposed rent increase which exceeds 5 percent or notice of at least 90 days of an increase which exceeds 8 percent.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=117&txtFormat=html,Casey Conley,"Peter Bixby, Sherry Frost, Kristina Fargo, Wendy Chase, Cassandra  Levesque, Amanda Toll, Ariel Oxaal",1/4/2021
21-0118,relative to food in cigar shops.,,,,John Potucek,"Constance Van Houten, Cody Belanger",1/4/2021
21-0119,requiring the independent investment committee of the New Hampshire retirement system to report investment fees.,CACR 4,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=119&txtFormat=html,Dianne Schuett,"Mark Pearson, Kristina Schultz, Arthur Ellison, Gary Merchant",1/4/2021
21-0121,relative to safety requirements for pools on foreclosed residential property.,HB 242,This bill adds specifics to the requirements of providing an opportunity for an adequate education.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=121&txtFormat=html,Patrick Abrami,,1/4/2021
21-0122,relative to noncompete agreements for certain mental health professionals.,HB 164,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=122&txtFormat=html,Patrick Abrami,,1/4/2021
21-0123,"relative to the acquisition, sale, or demolition of municipal land or buildings.",HB 165,"This bill mandates that certain noncompete provisions in employment contracts for pastoral psychotherapists, clinical social workers, clinical mental health counselors, and marriage and family therapists licensed by the board of mental health practice and psychologists licensed by the board of psychologists, are not enforceable.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=123&txtFormat=html,Patrick Abrami,Julie Gilman,1/4/2021
21-0124,relative to the content of an adequate education.,HB 166,"This bill requires that any pool, spa, or other water feature structure on the premises of a foreclosed residential property have an approved cover or net.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=124&txtFormat=html,Rick Ladd,"Ralph Boehm, Karen Umberger, Steven Smith, Glenn Cordelli, Deborah Hobson",1/4/2021
21-0125,increasing the penalty for buyers under the law regarding trafficking in persons.,,,,Linda Massimilla,"Karen Ebel, Latha Mangipudi, Phyllis Katsakiores, Patricia Klee, Timothy Egan",1/4/2021
21-0126,"redistricting.  Providing that an independent redistricting commission shall be established to draw boundaries for state and federal offices.
",HB 173-FN,This bill requires the quarterly report of the retirement system's independent investment committee to include a description of investment fees.  The bill also requires independent investment committee reports to be available on the retirement system's Internet website.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=126&txtFormat=html,Dianne Schuett,Marjorie Porter,10/1/2020
21-0127,relative to state aid to school districts with special education pupils.,HB 171,"This bill allows the service but not the sale of food in cigar shops holding an on-premises cigar, beverage, and liquor license.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=127&txtFormat=html,Rick Ladd,"Barbara Shaw, Steven Smith, James Gray, Ruth Ward, James Allard, Judy Aron, Walter Spilsbury",1/4/2021
21-0128,making a technical correction and a clarification in the law governing death benefits for emergency medical technicians and rescue squad members.,HB 172,This bill establishes greenhouse gas emission reduction goals for the state and authorizes the department of environmental services to inventory greenhouse gas emissions on an annual basis and to develop and report on a 5-year action plan.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=128&txtFormat=html,Dianne Schuett,"Jeffrey Goley, Timothy Soucy",1/4/2021
21-0129,extending certain civil immunity to public and private entities during major public health emergencies.,HB 146,This bill requires health care providers to furnish upon request a list of ingredients contained in any injectable medication that is recommended or administered.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=129&txtFormat=html,Walter Stapleton,"Jordan Ulery, Al Baldasaro, Steven Smith, Skip Rollins, William Marsh, Mark Pearson",1/4/2021
21-0130,creating a private cause of action for discrimination based on hairstyles relative to a person's ethnicity.  ,HB 175,This bill requires the commissioner of the department of safety to issue a driver's license to any individual who can provide satisfactory evidence of completion of a course of driver education approved by the state in which the course was offered.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=130&txtFormat=html,Mary Beth Walz,,1/4/2021
21-0131,renaming Columbus Day as Indigenous People's Day.,HB 155,This bill renames Columbus Day as Indigenous People's Day for the purpose of state holidays.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=131&txtFormat=html,Timothy Horrigan,"Suzanne Vail, Amanda Bouldin, Andrew Bouldin, Cam Kenney",1/4/2021
21-0132,relative to reciprocal driver education. ,HB 359,This bill creates a private cause of action for discrimination based on hairstyles relative to a person's ethnicity.  This bill also exempts such causes of action from the jurisdiction of the human rights commission.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=132&txtFormat=html,Barbara Comtois,"Raymond Howard, James Mason",1/4/2021
21-0133,requiring health care providers to furnish upon request a list of ingredients contained in an injectable medication that is recommended or administered.,HB 149-FN,This bill establishes immunity from civil liability for public and private entities during a declared state of emergency due to a public health risk if the entity was acting in good faith and in accordance with public health and safety directives.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=133&txtFormat=html,Barbara Comtois,"Judy Aron, Leah Cushman",1/4/2021
21-0134,establishing greenhouse gas emission reduction goals for the state and establishing a climate action plan.,HB 150,"This bill makes a technical correction in the law governing death benefits for emergency medical technicians and rescue squad members.  This bill also clarifies the definition of ""rescue squad member.""",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=134&txtFormat=html,Joyce Weston,"Suzanne Smith, Suzanne Vail, Lee Oxenham, Kat McGhee, Sparky Von Plinsky, Rebecca McWilliams",12/15/2020
21-0135,relative to remote board meetings under the right-to-know law and authorizing certain procedures for rulemaking. ,,,,Carol McGuire,"John Reagan, Peter Schmidt, William Hatch, Dianne Schuett",1/4/2021
21-0136,relative to the use of physical agent modalities by occupational therapists.,CACR 5,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=136&txtFormat=html,Carol McGuire,"John Reagan, Mark Pearson",1/4/2021
21-0137,relative to human trafficking and child exploitation prevention.,HB 94-FN,"This bill revises the procedure and timeframe for license renewals of allied health professionals, body art practitioners, podiatrists, chiropractors, acupuncturists, and veterinarians.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=137&txtFormat=html,Fred Plett,,1/4/2021
21-0139,relative to licensure renewal dates for certain governing boards under the office of professional licensure and certification.,HB 93-FN,"This bill prohibits the manufacture, sale, or lease of an internet-enabled device unless the device includes a filter that blocks obscene material and establishes a fee for deactivating the filter.  The bill also establishes a live adult entertainment admission fee.  Both fees would be deposited in a human trafficking and child exploitation prevention grant fund, to be administered by the attorney general.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=139&txtFormat=html,Carol McGuire,Tony Lekas,1/4/2021
21-0140,New Hampshire general court.  Providing that the provision for compensation of legislators is removed.,HB 369-FN,This bill limits the use of ultrasound and electrical physical agent modalities by occupational therapists and occupational therapy assistants.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=140&txtFormat=html,Rebecca McWilliams,Timothy Horrigan,1/4/2021
21-0142,relative to claims for medical monitoring.,,,,Robert Renny Cushing,"Michael Edgar, Tom Sherman, Rosemarie Rung, Wendy Chase",1/4/2021
